# Lambda(nm) R(%)
7.691729323308270523e+02 1.532788969220967856e-01
7.706766917293232382e+02 1.538342129926213997e-01
7.721804511278195378e+02 1.543881734134302797e-01
7.736842105263158373e+02 1.549407306127187078e-01
7.751879699248120232e+02 1.554887606404064815e-01
7.766917293233082091e+02 1.560409756895235478e-01
7.781954887218045087e+02 1.565901027412101576e-01
7.796992481203008083e+02 1.571349086997253230e-01
7.812030075187969942e+02 1.576634977633605550e-01
7.827067669172931801e+02 1.581854532565299953e-01
7.842105263157894797e+02 1.587023867256173726e-01
7.857142857142857792e+02 1.592175199339394831e-01
7.872180451127819651e+02 1.597233753367262032e-01
7.887218045112781510e+02 1.602266886405844248e-01
7.902255639097744506e+02 1.607274628600004474e-01
7.917293233082707502e+02 1.612257012221776920e-01
7.932330827067669361e+02 1.617214071608226722e-01
7.947368421052631220e+02 1.622145843100777085e-01
7.962406015037594216e+02 1.627150362832272823e-01
7.977443609022557212e+02 1.632110296550979278e-01
7.992481203007519071e+02 1.637052410982484385e-01
8.007518796992480929e+02 1.641935671823618881e-01
8.022556390977442788e+02 1.646718046744780894e-01
8.037593984962405784e+02 1.651500491712269980e-01
8.052631578947368780e+02 1.656235342739844074e-01
8.067669172932330639e+02 1.660916670616733315e-01
8.082706766917292498e+02 1.665608959020691004e-01
8.097744360902255494e+02 1.670269892907474407e-01
8.112781954887218490e+02 1.674887853182614739e-01
8.127819548872180349e+02 1.679502033220097723e-01
8.142857142857143344e+02 1.684082835584675419e-01
8.157894736842105203e+02 1.688580477058679585e-01
8.172932330827068199e+02 1.692625015288661550e-01
8.187969924812030058e+02 1.696663904489255636e-01
8.203007518796991917e+02 1.700667861249043622e-01
8.218045112781954913e+02 1.704961070066926265e-01
8.233082706766916772e+02 1.709160822756111975e-01
8.248120300751879768e+02 1.713408701682022084e-01
8.263157894736841627e+02 1.717602885124095424e-01
8.278195488721804622e+02 1.722233205296211100e-01
8.293233082706766481e+02 1.727110164229055667e-01
8.308270676691729477e+02 1.731912763102629593e-01
8.323308270676691336e+02 1.736679254824396723e-01
8.338345864661654332e+02 1.741441598606998931e-01
8.353383458646616191e+02 1.746167321246671067e-01
8.368421052631579187e+02 1.750889440684076925e-01
8.383458646616541046e+02 1.755574430781802475e-01
8.398496240601504041e+02 1.760256371304652900e-01
8.413533834586465900e+02 1.764618179448929625e-01
8.428571428571428896e+02 1.768945616124638909e-01
8.443609022556390755e+02 1.773234166249021693e-01
8.458646616541353751e+02 1.777520559884330220e-01
8.473684210526315610e+02 1.781767473786464995e-01
8.488721804511278606e+02 1.786013098447438996e-01
8.503759398496240465e+02 1.790218650298212866e-01
8.518796992481203461e+02 1.794423783574445319e-01
8.533834586466165320e+02 1.798588949309746221e-01
8.548872180451128315e+02 1.802754692496255640e-01
8.563909774436090174e+02 1.806879172211219853e-01
8.578947368421053170e+02 1.811004979656549163e-01
8.593984962406015029e+02 1.815088930454110128e-01
8.609022556390976888e+02 1.819361459520010826e-01
8.624060150375939884e+02 1.823716104661754212e-01
8.639097744360901743e+02 1.828073944476458490e-01
8.654135338345864739e+02 1.832389223962021529e-01
8.669172932330826598e+02 1.836708304941196968e-01
8.684210526315789593e+02 1.840984355242030190e-01
8.699248120300751452e+02 1.845264818476407276e-01
8.714285714285714448e+02 1.849501784781556191e-01
8.729323308270676307e+02 1.853743779709682293e-01
8.744360902255639303e+02 1.857941815429179355e-01
8.759398496240601162e+02 1.862190713769492634e-01
8.774436090225564158e+02 1.866341692500972926e-01
8.789473684210526017e+02 1.870520799683276503e-01
8.804511278195489012e+02 1.874533276774774104e-01
8.819548872180450871e+02 1.878356895046479069e-01
8.834586466165413867e+02 1.882109338872863802e-01
8.849624060150375726e+02 1.885895059062491219e-01
8.864661654135338722e+02 1.889609880504170558e-01
8.879699248120300581e+02 1.893358013983598709e-01
8.894736842105263577e+02 1.897035513286695618e-01
8.909774436090225436e+02 1.900746371585438355e-01
8.924812030075188432e+02 1.904386849153567041e-01
8.939849624060150290e+02 1.908060743800295833e-01
8.954887218045113286e+02 1.911664630225260175e-01
8.969924812030075145e+02 1.915302043699858570e-01
8.984962406015038141e+02 1.918869549085156223e-01
9.000000000000000000e+02 1.922470619538837189e-01
